seq_page_links;link_to_voting_record;law_id;record_id
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187678&data=71399421033C41CA6AE266FB27D54388&lang=bs;57580;187678
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187679&data=3CECD568EC60B071C39D866ADC279C78&lang=bs;57580;187679
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187680&data=D460A29437629B299A608EE3253F0519&lang=bs;57580;187680
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187681&data=1AB872E1CBC107319DD53E9C646E52EB&lang=bs;57580;187681
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187682&data=0BC853A92129D26BA3EF73530633172D&lang=bs;57580;187682
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198493&data=A5DFEC2E8F28CF29AE5AAD93DE347168&lang=bs;57580;198493
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=175482&data=9C74C985F6E76DB4EF1F0613C1694339&lang=bs;57580;175482
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186788&data=98303AD4D8200CEB11D9518C25F2C8B5&lang=bs;57580;186788
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186789&data=C84671DBAD482383AC702652C175F760&lang=bs;57580;186789
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186790&data=9D4B068974C5CA5E0C1DC26F949E244E&lang=bs;57580;186790
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186791&data=0A9B3E02A3579AD70A74063C9C6B1350&lang=bs;57580;186791
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186792&data=7FDF1DA060B9805B33848353AECA6CC6&lang=bs;57580;186792
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186793&data=A24A358D306ED3613B1C8CC76C9B46EA&lang=bs;57580;186793
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191072&data=5365C419A2E72AF41448391E4B7B80F8&lang=bs;57580;191072
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=194834&data=3B29A8D08B177615A510E6116AB6FC27&lang=bs;57580;194834
http://parlament.ba/olaw/OLawDetails?lawId=57344;http://parlament.ba/oLaw/GetOwisDocument/?documentId=175592&data=0D4BD56AF12508E52424C9103E5E3DC3&lang=bs;57344;175592
http://parlament.ba/olaw/OLawDetails?lawId=57270;http://parlament.ba/oLaw/GetOwisDocument/?documentId=169914&data=120DBC0713E6604ED782D61B6AEF8E6B&lang=bs;57270;169914
http://parlament.ba/olaw/OLawDetails?lawId=57270;http://parlament.ba/oLaw/GetOwisDocument/?documentId=169916&data=2C7C43AF96AAFFC0604F5B9C58240BFB&lang=bs;57270;169916
http://parlament.ba/olaw/OLawDetails?lawId=57270;http://parlament.ba/oLaw/GetOwisDocument/?documentId=169917&data=A3C8A8350C709D6480EE961CA38AEDA2&lang=bs;57270;169917
